wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6215.73,6215,11.8,1.2,D,7.3,,L,1.1,,L,6.1,0.6,D,1.6,,L,5.9,0.6,D,2.7,,L,5.9,,L,1.6,,L,2.5,,L,13.3,1.2,D,,,R,9,1,D,5.4,,L,31.5,1.6,D,21.1,1.6,D,2.4,0.5,D,9.3,0.6,D,6.5,0.5,D,20.8,0.8,D,21.8,1,D,32.1,1.9,C,13.8,0.4,D,6.6,0.7,D,12.8,1.3,D
6220.95,6220,1.5,,L,4.5,,L,0.9,,L,1.2,,L,0.6,,L,1.7,,L,1.6,,L,3,,L,0.8,,L,1.6,,L,4.6,0.4,D,,,R,2.2,,L,1.9,,L,6.9,0.9,D,10.9,1.5,D,1.9,0.3,D,8.2,0.5,D,6.5,0.4,D,3.6,0.4,D,6.6,0.7,D,8.6,1.2,D,2.8,0.4,D,1.3,0.3,D,1.9,0.6,D
6223.65,6223,3.9,0.1,D,3.2,,L,1.1,0.3,D,3.1,0.2,D,0.6,0.2,D,3.9,0.4,D,2.1,0.3,D,3.2,0.4,D,0.4,,L,1,,L,6.9,0.4,D,1.4,,L,3.3,0.4,D,1.6,,L,11.1,0.6,D,4.7,0.4,D,1.2,0.3,D,11.2,0.3,D,1.5,0.3,D,3.1,0.4,D,6.6,0.3,D,8.4,0.7,D,4.3,0.2,D,1.6,0.1,D,6,0.3,D
6225.15,6225,1.3,,L,2.9,,L,1.3,0.3,D,2.4,0.2,D,0.4,,L,1,,L,1.1,,L,4.2,0.7,D,0.7,,L,2.8,0.2,D,1.1,,L,2.3,,L,2.2,0.4,D,1.2,,L,4,0.5,D,1.3,,L,0.9,,L,2.4,0.1,C,1.1,,L,0.8,,L,1.3,,L,4.2,0.6,D,2.2,0.2,D,0.5,,L,,,R
6226.25,6226,7.6,0.3,C,3.4,,L,3.6,0.2,D,3.8,0.4,D,0.5,,L,3.5,0.5,D,1.3,0.3,D,6.6,0.6,D,0.9,,L,1.9,0.2,D,,,R,10.1,0.7,C,5.7,0.3,D,3.5,0.3,D,15.7,0.4,D,4.8,0.7,D,2.3,0.4,D,4,0.3,D,1.9,0.1,D,3.9,0.3,D,4.1,0.5,D,8.8,0.5,D,6.3,0.3,D,2.5,0.3,D,,,R
6234.01,6234,11.7,0.4,C,12.8,1.4,D,6.4,0.2,D,8.2,0.3,D,1.3,,L,9.5,0.8,D,5.6,0.3,D,,,R,2.1,0.3,D,1.3,,L,13.7,1.2,D,,,R,20.7,0.6,D,7.4,0.5,D,37.2,0.9,D,38.9,1.3,D,7.3,0.5,D,18.9,0.2,D,11.6,0.3,D,16.1,0.6,D,23.3,0.9,D,23.7,0.8,D,14.5,0.6,D,15.1,0.3,D,7.2,0.4,D
6236.86,6236,1.5,,L,5.4,,L,1.3,,L,0.6,,L,1.3,0.3,D,1.3,,L,1.7,0.3,D,3.4,,L,1.2,0.2,D,1.5,0.2,D,2.4,,L,,,R,4,0.7,D,1.8,,L,9.8,0.7,D,1.7,0.5,D,2.7,,L,7.1,0.3,D,2.1,,L,7.5,0.6,D,2.8,,L,8.3,1.2,D,5.9,0.4,D,1.1,0.3,D,,,R
6244.41,6244,1.4,0.2,D,4.1,0.9,D,1.6,0.1,D,0.8,,L,0.9,0.2,D,0.8,,L,0.9,,L,0.5,,L,0.5,,L,0.6,,L,1.9,,L,,,R,2.7,0.1,D,1.8,,L,0.7,,L,10.2,0.4,D,3.3,0.2,D,7.1,0.4,D,1.2,,L,1.8,0.2,D,8.3,0.3,D,10.9,0.6,C,8,0.4,D,0.9,0.2,D,1.9,,L
6245.14,6245,0.5,,L,2.4,,L,0.6,0.2,D,0.5,,L,0.8,0.1,D,2.4,0.3,D,0.8,0.2,D,1.8,,L,0.8,,L,0.7,,L,2.1,,L,,,R,1.5,0.2,D,0.8,,L,1.4,,L,10.7,0.3,D,2.1,0.3,D,9.2,0.5,D,3.6,0.1,D,1.2,,L,8.1,0.3,D,9.6,0.4,D,4.9,0.2,D,0.5,,L,0.9,,L
6250.87,6250,5.6,0.2,D,4.5,,L,2,0.3,D,4.7,0.4,D,1,,L,5.8,0.5,D,1.9,,L,4.2,0.5,D,1.1,,L,1,,L,6.3,0.6,D,2.7,,L,5.7,0.5,D,4,,L,15.8,0.8,D,12.1,1,D,2.7,0.3,D,13.1,0.5,D,1.5,,L,4.9,0.4,D,7.8,0.6,D,8,1,D,4.6,0.6,D,1.5,,L,3.2,0.5,D
